id,date,cluster_id,genotype_name,species,site,rack,qty,reason,comment
6a9471b6-522d-4acd-bf9e-93320ba10749,8/16/24 7:53,b2df651c-b97f-4bc7-b283-3670c9bc50b1,AP14,AP,Mote Key Largo,R262,0,Move In,
89ae33c4-88a0-4b4e-875f-e4b90bb8c2f4,8/16/24 7:53,ceaee815-e32e-42ef-a658-2f38aa178940,AP14,AP,Mote Key Largo,R208,60,fragging,fragging
b98e08c5-7c27-4d1e-b695-c1b1edbaa93b,8/16/24 7:52,ceaee815-e32e-42ef-a658-2f38aa178940,AP14,AP,Mote Key Largo,R208,0,Move In,
afb1a002-05fd-4a94-9dcf-1b763260ba20,8/16/24 7:52,db792a47-b146-49b5-811e-97d7ae3fd7d0,AP14,AP,Mote Key Largo,R143,60,fragging,fragging
948573e1-ab84-4086-b659-770bd96f0ec5,8/16/24 7:51,db792a47-b146-49b5-811e-97d7ae3fd7d0,AP14,AP,Mote Key Largo,R143,0,Move In,
e1272dce-34bc-4e91-8d7d-bf28cbd5d225,8/16/24 7:51,90bd5b40-45ba-44a4-8512-b88bd7383f87,AP,,Mote Key Largo,R113,60,fragging,fragging
eeaec0b8-c00e-4d00-825f-6e872e55adc8,8/16/24 7:51,90bd5b40-45ba-44a4-8512-b88bd7383f87,AP,,Mote Key Largo,R113,0,Move In,
c50c3890-232c-4f0b-95db-bc931d3e3505,8/16/24 7:50,689df57f-153d-42d7-b5a7-33f3d1d84e16,AP14,AP,Mote Key Largo,R307,60,fragging,fragging
22df87ac-327f-4847-86a3-d281111dfdfa,8/16/24 7:50,689df57f-153d-42d7-b5a7-33f3d1d84e16,AP14,AP,Mote Key Largo,R307,0,Move In,
62381ae3-e06b-4e49-ae9f-dbba16a1c084,8/16/24 7:44,6513fb44-3169-42a4-af5d-fe9611aaafc9,AP110,AP,Mote Key Largo,R314,60,fragging,fragging
6eb841a3-4ed6-48b4-9707-ff4b5c79a146,8/16/24 7:43,6513fb44-3169-42a4-af5d-fe9611aaafc9,AP110,AP,Mote Key Largo,R314,0,Move In,
4999ed21-187d-443d-9779-5d749413df7a,8/16/24 7:43,a73cf5ea-8b15-4ffa-8f7d-d42c17ce340f,AP,,Mote Key Largo,R74,110,fragging,fragging
a6773833-2c65-4249-bf72-eb226151dd32,8/16/24 7:42,3b2c3511-a06b-4514-a026-5c5e3d5f2d97,AP110,AP,Mote Key Largo,R74,0,Move In,
53ba4941-c912-4250-b11f-d4a8327c0652,8/16/24 7:42,f71f380b-a142-4f55-ab7b-c48296b647bc,AP110,AP,Mote Key Largo,R179,60,fragging,fragging
4505f4ef-6393-4d94-b799-a8a3a6e0ef60,8/16/24 7:41,f71f380b-a142-4f55-ab7b-c48296b647bc,AP110,AP,Mote Key Largo,R179,0,Move In,
4f51f4ad-fbc5-4a98-b31e-9103a787e8f6,8/16/24 7:41,1ecec72b-514d-402a-bf07-381ee4276c63,AP110,AP,Mote Key Largo,R175,60,fragging,fragging
6946b445-3828-4ba7-ab1d-413f64c54f38,8/16/24 7:40,1ecec72b-514d-402a-bf07-381ee4276c63,AP110,AP,Mote Key Largo,R175,0,Move In,
2925e9ab-ed17-4d7a-8059-7fa051b5cab2,8/16/24 7:38,ddefbf7a-8155-4187-b0ab-83abc3392104,AP14,AP,Mote Key Largo,R265,-17,Move Out,
ddfdd58a-94a0-4df3-886f-54ed40bd8ecc,8/16/24 7:33,383ec236-8ad6-42a8-9fc9-5842584fb1d7,AP110,AP,Mote Key Largo,R170,7,fragging,fragging
7da2ce2c-c8d1-4973-a643-ca3716a81993,8/16/24 7:32,274aeeea-97d9-4e37-8a99-e9516143eddb,AP110,AP,Mote Key Largo,R217,-21,Move Out,
39e10db8-8083-4ca9-be91-5103b3265eb1,8/16/24 6:31,5c30a813-9403-48d7-93a1-20099e6375df,OF988,OF,Mote Summerland,R1407,-2,other,other
8163701b-496e-41a3-8784-49084746b361,8/16/24 6:00,6e08b1f3-2ef7-4ab8-ac80-9fb021b238c3,PA338,ASTREOIDES,Mote Summerland,R1979,-1,other,other
5fec4d8b-4682-4c94-bbd7-9aa4afde749a,8/16/24 5:59,45d5988f-dcec-4902-b48d-dce6db2daf8f,PA345,ASTREOIDES,Mote Summerland,R1608,-3,other,other
d0ee171a-da0d-49c5-9a6e-938f912d35c4,8/16/24 5:55,ef947b88-df1f-46d0-a51e-c8d94badbcd1,PA346,ASTREOIDES,Mote Summerland,R1492,-4,other,other
f08f16c2-f374-4f26-9f5b-694943ce9786,8/16/24 5:55,c6e2090c-49a6-4765-b860-cabb1ef928b9,PA344,ASTREOIDES,Mote Summerland,R1492,-4,other,other
5d3d8709-101c-4a9c-a3c0-1eb03b8f1def,8/16/24 5:55,ded5774b-6a66-4b90-88a8-f0dcc9812207,PA340,ASTREOIDES,Mote Summerland,R1492,-4,other,other
234daa7f-ad64-454d-a5ff-114ba1db4cc8,8/16/24 5:55,13ea3582-ebda-42f5-82a7-adec1c315117,PA339,ASTREOIDES,Mote Summerland,R1492,-1,other,other
b428c9ea-63e7-4b30-ba77-c847a7389009,8/16/24 5:10,07c2054a-1275-4e71-9eee-7f815900ccaf,MC125,MC,Mote Key Largo,R160,-1,other,other
15b2020c-354e-4c1f-901a-7605655d7b73,8/15/24 14:26,81098693-3c54-42d2-bddb-20e1e5ed4c61,PCRecruits*,PC,Mote Key Largo,R86,-30,correction,correction
906b52d7-6389-4305-838b-986b5cacb72e,8/15/24 14:26,3435cffd-ff08-4243-8f9d-5c4aabedc2bc,PSRecruits,PS,Mote Key Largo,R86,30,correction,correction
2fc24823-cc6a-41db-87a4-186591a85a6d,8/15/24 14:26,53c37385-0c04-45ba-8986-e99d5ca4e770,PCRecruits*,PC,Mote Key Largo,R15,-16,correction,correction
13d31e25-c2d8-4e26-ad9f-6223573d39d0,8/15/24 14:26,eeb1a4c2-b510-44c2-abc1-aa1f31756a7e,PSRecruits,PS,Mote Key Largo,R15,16,correction,correction
0b7dfbc1-f7a1-474e-aa0a-709acc19cded,8/15/24 13:07,f2742c33-975d-4cc7-bbd5-ead11995a971,OF75,OF,Mote Summerland,R519,2,Transfer,transfer_to_A6
d4738935-0921-401c-9210-751be2e93e7c,8/15/24 13:07,f2742c33-975d-4cc7-bbd5-ead11995a971,OF75,OF,Mote Summerland,R519,47,fragging,fragging
59857f61-89fa-4340-bdc2-ba51fb68c461,8/15/24 13:06,f2742c33-975d-4cc7-bbd5-ead11995a971,OF75,OF,Mote Summerland,R519,0,Move In,
f9c9cda0-dbcd-4799-b16f-dd6ef39a1f79,8/15/24 12:56,f93720d5-29f2-4d8f-a299-b6a499caf38c,PS50,PS,Mote Summerland,R1534,-6,Move Out,
a6ca2a61-75ba-4ee1-974f-e8abceacd028,8/15/24 12:55,3dcc0d85-cb2a-4394-9e8a-7b766d44c573,PS50,PS,Mote Summerland,R1534,50,fragging,fragging
4213da95-6752-4eea-bf92-ec8d6c140506,8/15/24 12:54,3dcc0d85-cb2a-4394-9e8a-7b766d44c573,PS50,PS,Mote Summerland,R1534,0,Move In,
6ea6a6b0-f6f9-4385-a4e2-3384bf4876d3,8/15/24 12:54,0cfe49f5-745f-416c-be93-52cf7e09872d,PS50,PS,Mote Summerland,R1027,60,fragging,fragging
60aca49f-e2d9-40bd-a141-fe66a514de36,8/15/24 12:53,0cfe49f5-745f-416c-be93-52cf7e09872d,PS50,PS,Mote Summerland,R1027,0,Move In,
5d6a2fb6-b288-4bac-9a80-008c22a69cec,8/15/24 12:44,d3f355b2-38bb-41d7-b856-ba0abe143642,OF96,OF,Mote Summerland,R810,12,fragging,fragging
d7a69c69-b8b3-4ed9-b5e6-bb0c6bb1dbf2,8/15/24 12:43,d3f355b2-38bb-41d7-b856-ba0abe143642,OF96,OF,Mote Summerland,R810,0,Move In,
0b210bc9-d0ca-405a-94f8-a5d9b80aa58f,8/15/24 12:43,7e37ddcf-2e90-40b7-9cd4-dff30d472956,OF99,OF,Mote Summerland,R877,21,fragging,fragging
1a3b3b0e-e479-47af-91a9-ee5a736d2931,8/15/24 12:43,994f5d0a-d641-421d-ab27-52c9e974d288,MC59,MC,Mote Summerland,R877,0,Move In,
f8054a8b-6658-4b32-bc90-502cf7b44a6a,8/15/24 12:38,c389336d-cc59-4fa7-953d-001135dabd1d,MC59,MC,Mote Summerland,R1204,9,fragging,fragging
d87422fb-12f7-4381-a2e6-47635ae778d0,8/15/24 12:37,c389336d-cc59-4fa7-953d-001135dabd1d,MC59,MC,Mote Summerland,R1204,0,Move In,
6011faa6-66e1-4a67-a301-9811706093a0,8/15/24 8:59,883df00b-65e9-460f-a622-7d3901474b9a,OF688,OF,Mote Summerland,R892,-1,other,other
37c6c075-362e-4c22-aeb5-a2df1e573e39,8/15/24 8:40,9e108cd2-9562-4af0-ab6a-8c5732629cf4,PA92,ASTREOIDES,Mote Islamorada,ISLA57,-25,Move Out,
