Name,Location,Date,Latitude,Longitude,Deliverable,Genotype,Survived,Outplanted,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS422,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS426,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS427,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS440,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI237,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR336,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS319,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR217,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR218,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS504,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR209,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS326,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI117,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI118,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI119,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI120,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI121,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI122,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI171,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI170,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI172,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI173,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI174,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI175,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI176,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI178,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS116,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI40,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR8,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS114,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS118,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS119,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS111,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS115,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS120,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR12,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS117,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI108,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI109,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI110,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI111,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI112,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI114,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI113,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS588,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS589,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS590,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS591,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS592,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS593,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS594,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS595,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS596,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS597,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS598,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS599,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS600,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS601,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS602,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS603,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS604,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS605,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS606,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS607,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS608,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS609,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS610,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS611,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS612,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS632,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS633,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS634,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS635,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS636,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS637,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS638,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS639,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS640,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS641,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS543,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS544,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS545,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS546,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS547,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS548,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS549,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS550,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS551,1,1,,,,,
