id,species,genotype,site,subsystem,tank,rack,qty,size
fbac96a0-4339-4e55-9017-5ee561704a13,PS,PS33,Mote Summerland,All Summerland,G6,R916,9,0.75
6f45fdf7-2b4c-448c-9325-83fe478dab58,DL,DL245,Mote Summerland,All Summerland,G6,R1305,9,0.25
8d988e73-349a-44ff-8dbf-48d10c11ac9f,CN,CN54,Mote Islamorada,,G12,R242,9,
01e545cd-e462-4991-8aa1-95af124ce471,PC,PC44,Mote Summerland,All Summerland,A2,R922,9,0.25
26eabc6a-9ba9-481a-95e2-c91d186999ee,RADIANS,SR390,Mote Islamorada,,G16,R34,9,0
0241423b-fe20-4990-82c3-347abf0800b8,RADIANS,SR91,Mote Islamorada,,G16,R287,9,0.5
ca8063e4-b280-487d-aaf3-718129d8a2cf,SH,SH131,Mote Key Largo,,G3,R38,9,
d2d8ea0a-b364-4b3e-bf7a-8af0dc780ed4,SIDEREA,SS495,Mote Islamorada,,G7,R285,9,0.5
3bc5283a-f29a-45b6-ad08-283ce55c8066,ASTREOIDES,PA42,Mote Summerland,All Summerland,A4,R1775,9,0.25
544f5228-a414-4579-a48f-b6d640c22212,SH,SH118,Mote Islamorada,,G4,R173,9,0.5
d7861e91-a58c-48bd-9dfc-49537da75f88,DL,DL218,Mote Summerland,All Summerland,D1,R949,9,0.25
8447055f-83e5-484b-b799-fe698a15638b,CN,CN83,Mote Islamorada,,G2,R151,9,0.25
0a6d180a-14a5-424a-9fb0-00edeabd7292,CN,CN33,Mote Summerland,All Summerland,C1,R1179,9,0.75
04a0f17e-f520-4a71-9396-eb26969ec7b7,MC,MC52,Mote Summerland,All Summerland,C4,R1478,9,0.25
4eda49c6-03ca-4623-b4b9-882d6c5707f2,SIDEREA,SS463,Mote Islamorada,,G16,R23,9,0.5
6e444c84-043c-4150-b74e-835b24ca0347,CN,CN57,Mote Islamorada,,G9,R40,9,0.75
68b5ac42-2f66-4ec4-b9f7-3e7cfffd6303,INTERSEPTA,SI260,Mote Islamorada,,G16,R321,9,0
076aba1e-49f7-4844-b617-b8b0db4a5d74,SB,SB20,Mote Islamorada,,G16,R266,9,
178e39bb-7c0d-4057-90c6-2a3e84e37305,PC,PC27,Mote Islamorada,,G9,R64,9,0.25
ff15bb73-3340-41a4-805f-83ff65c2aa3f,AC,AC97,Mote Islamorada,,G11,R1007,9,1
cde6d52b-4125-44aa-80a0-34377b1a89c8,AC,AC97,Mote Islamorada,,G11,R1004,9,1
0ecf6dfb-ef82-4fa3-8508-b409308d375f,OF,OF1099,Mote Summerland,All Summerland,D4,R1896,9,0.25
8af7b00a-ba9e-4c07-9de7-e8c311c19893,AP,AP113,Mote Key Largo,,G4,R22,9,0.5
e5f1b4a3-ec48-4337-87d7-339d2c55596a,OF,OF837,Mote Key Largo,,G20,R162,9,0.25
68aa0f19-e0cc-463e-9212-7670d18fde39,DL,DL109,Mote Key Largo,,G11,R297,9,0.25
637008b8-9aff-4378-be07-17f192210a10,AC,AC3003,Mote Islamorada,,G10,R248,9,
aa0fb9dc-b0a8-4b19-93d8-67c82754e5e1,DL,DL70,Mote Islamorada,,G4,R144,9,0.75
270f245a-d430-402b-8256-3a0e7cf9241f,CN,CN43,Mote Islamorada,,G14,R68,9,0.75
6e15ea26-695c-48ba-98d1-c7334ad7606a,CN,CN54,Mote Islamorada,,G12,R252,9,0.5
badbd488-4bef-4022-9e5e-b9e9539a6a66,DL,DL7,Mote Summerland,All Summerland,Q9,R844,9,0.75
34b77bc8-4209-4bbd-8235-cf54845d6f6d,CN,CN48,Mote Islamorada,,G14,R362,8,0.75
33347460-d752-462a-85fe-a8a81480980b,OF,OF1098,Mote Key Largo,,G9,R212,8,0.75
4bef9f1d-7c89-4d50-b56f-d45ac97fcb58,OF,OF816,Mote Key Largo,,G20,R204,8,0.25
55c614cd-040f-43be-b49e-a8566e55584f,OF,OF977,Mote Summerland,All Summerland,F6,R928,8,0.5
4ff6f107-0b4d-40dd-a6c3-47d19c6dd0ee,OF,OF849,Mote Key Largo,,G20,R125,8,0.25
13e4cfb5-ee75-4e0f-9909-899a30ead4b2,OF,OF853,Mote Key Largo,,G20,R129,8,0.25
2468eb3e-fc6d-43cb-87f1-e4b5bfd2b69d,MC,MC29,Mote Summerland,All Summerland,G5,R315,8,0.25
b90d0073-9e63-41c2-a31b-815c2070ad83,MC,MC36,Mote Summerland,All Summerland,G5,R904,8,0.5
098b7c39-6699-4128-b4d1-fb6501cf4b80,ASTREOIDES,PA62,Mote Summerland,All Summerland,G3,R1001,8,1
5466f6c6-ed49-4de0-ac07-0fe199a06acd,PS,PS33,Mote Summerland,All Summerland,F7,R1069,8,0.75
b7f04bcc-cd84-490f-9c8f-b5c88a0f5f98,SH,SH81,Mote Key Largo,,G3,R135,8,0.5
e6517b8d-5861-48fd-99b4-49b01010d43a,AP,AP426,Mote Key Largo,,G10,R118,8,
09139c63-ad3e-4c1d-aead-ea11e6f890f2,AP,AP53,Mote Key Largo,,G17,R254,8,0.75
4d85d943-1e61-49c9-a65d-279ff97c637b,OF,OF98,Mote Summerland,All Summerland,E5,R701,8,0.25
cf96829f-944f-4c42-8850-e994f6f5cf15,DL,DL122,Mote Key Largo,,G11,R127,8,0.25
da44ea27-f40b-42a0-98b8-6240cc913094,PS,PS8,Mote Summerland,All Summerland,E2,R1498,8,0.75
76304f18-8436-423f-8f28-a17f6892195f,DL,DL197,Mote Summerland,All Summerland,G6,R1948,8,0.5
9513c1c2-586b-42f8-83a8-f7b1629594c4,CN,CN12,Mote Summerland,All Summerland,G6,R489,8,0.5
17e09c91-e577-49b2-bf46-baf934fb942b,AP,AP21,Mote Key Largo,,G13,R286,8,0.5
4985f968-f5f2-4666-8ba2-7e09237c61de,SB,SB89,Mote Islamorada,,G4,R130,8,0.5
5b7da47c-cea7-4f67-8578-c5b6e094d9b5,SH,SH117,Mote Islamorada,,G4,R173,8,0.5
9e1e0125-3b4d-49d0-a824-cb4e92dfde6d,SH,SH129,Mote Islamorada,,G4,R173,8,0.5
24b706c1-36cb-45d8-904f-cfd6a518caa9,DL,DL165,Mote Summerland,All Summerland,E4,R1761,8,0.25
edabb528-6d90-44f0-8672-9967d7d84740,INTERSEPTA,SI7,Mote Summerland,All Summerland,F7,R133,8,1
cf8d0a28-23aa-46ff-b9fc-f77e56b3f3f7,AP,AP42,Mote Islamorada,,G7,R157,8,0.25
4e19756e-365c-4d6a-95f5-0e3572e547e2,SIDEREA,SS47,Mote Key Largo,,G1,R184,8,0.5
980ea022-cdb5-4506-9e6f-d4c7a2a44261,SH,SH125,Mote Key Largo,,G3,R3,8,0.5
1721a7fb-93c7-46d2-a423-546477a92b93,PS,PS26,Mote Summerland,All Summerland,G5,R347,8,1
8f577ec0-5b19-48b8-bd9f-3bce911007ad,AP,AP14,Mote Summerland,All Summerland,W4,R1993,8,0.5
9ea9fb84-1fd7-4f48-9860-e5b1164fcf5b,SIDEREA,SS82,Mote Islamorada,,G1,R155,8,0.5
3a25dc6f-1504-4c65-a757-7bf44ff907f8,SIDEREA,SS66,Mote Key Largo,,G1,R404,8,
38ac7535-a0b3-495e-9fb0-e19166cd9c4b,HYADES,SH17,Mote Islamorada,,G16,R18,8,0
01d1aeb8-ae0a-49f0-bb1d-d41e62e159d3,RADIANS,SR572,Mote Islamorada,,G16,R334,8,0.75
2ca3d7ab-1fb4-4899-afd9-42bd677a49e6,SB,SB6,Mote Islamorada,,G4,R190,8,0
974ab190-e7b8-4733-ac3f-78ad926e184e,AP,AP600,Mote Islamorada,,G5,R234,8,1.5
9f519a04-3064-48ee-bbf0-07c9b000b109,DIVARICATA,PD3,Mote Islamorada,,G11,R265,8,0.25
acf18bb8-6ffd-42db-861f-b44ca485c661,INTERSEPTA,SI84,Mote Summerland,All Summerland,D4,R2,8,1
5ad0503c-f4b5-4ad1-bb90-1241e16311fe,DIVARICATA,PD8,Mote Islamorada,,G9,R164,8,0.25
7fdcfc96-f98e-4662-b8bf-6c372f4e3618,MC,MC210,Mote Summerland,All Summerland,D5,R1159,8,0.5
